ID,Taxon used,Taxon,AgeCC,minCC,maxCC,meanCC,Taxon2,Specie1,Specie2
Jebel Irhoud 2 (Djebel Irhoud II) (Jebel Ighoud 2),n,n,100,1377.5,,1377.5,n,Neandertal,Neandertal
Jinniushan,ahs,ahs. hs,187,1316.6666666666667,,1316.6666666666667,ahs. hs,Archaic Homo sapiens,Archaic Homo sapiens
KGA10-525,ab,ab,1420,545.0,,545.0,ab,Australopithecus boisei,A. boisei
KNM- ER13750,ab,ab,2000,481.0,480.0,484.5,ab,Australopithecus boisei,A. boisei
KNM-ER3884,ahs,ahs,270,1400.0,,1400.0,ahs,Archaic Homo sapiens,Archaic Homo sapiens
KNM-ES-11693 (Eliye Springs),ahs,ahs,150,1300.0,1450.0,1337.5,ahs,Archaic Homo sapiens,Archaic Homo sapiens
KNM-WT 15000 (adult) (WT 15K)(Nariokotome),he,he. herg,1600,904.5,,904.5,he. herg,Homo erectus,Homo erectus
KNM-WT15000 (juv) (WT 15K)(Nariokotome),he,he. herg,1600,880.0,,880.0,he. herg,Homo erectus,Homo erectus
"KNM-WT17000
(black skull)",ab,ab. aae,2500,410.0,,410.0,ab. aae,Australopithecus boisei,A. boisei
KNM-WT17400,ab,ab,1800,445.0,400.0,447.5,ab,Australopithecus boisei,A. boisei
Keilor,hs,hs,13,1528.5,,1528.5,hs,Homo sapiens,Homo sapiens
Krapina - D,n,n,130,1450.0,,1450.0,n,Neandertal,Neandertal
Krapina 3 (C),n,n,130,1200.0,,1200.0,n,Neandertal,Neandertal
LH 18 (Laetoli 18) Ngaloba,ahs,n. ahs. hs,125,1283.5,,1283.5,n. ahs. hs,Archaic Homo sapiens,Archaic Homo sapiens
La Chapelle-aux-Saints,n,n,50,1605.1666666666667,1600.0,1609.3333333333333,n,Neandertal,Neandertal
La Ferrassie 1,n,n,68,1650.2,,1650.2,n,Neandertal,Neandertal
La Quina 18 (child),n,n,50,1205.0,,1205.0,n,Neandertal,Neandertal
La Quina 5 (H5),n,n,50,1342.25,,1342.25,n,Neandertal,Neandertal
Le Moustier 1,n,n,40,1486.2,,1486.2,n,Neandertal,Neandertal
Lijiang,hs,hs,100,1300.0,,1300.0,hs,Homo sapiens,Homo sapiens
Liujiang (skull PA 89) (Liu Kwang) (Liu Kiang),hs,hs,67,1480.0,,1480.0,hs,Homo sapiens,Homo sapiens
MLD-1 (A. prometheus),aa,aa,2900,575.0,,575.0,aa,Australopithecus africanus,A. africanus
MLD-3,aa,aa,2900,375.0,400.0,387.5,aa,Australopithecus africanus,A. africanus
MLD37-38 (MLD 37/43),aa,aa,2900,446.6666666666667,,446.6666666666667,aa,Australopithecus africanus,A. africanus
Minatogawa 1,hs,hs,18,1390.0,,1390.0,hs,Homo sapiens,Homo sapiens
Minatogawa 2,hs,hs,18,1170.0,,1170.0,hs,Homo sapiens,Homo sapiens
Minatogawa 4,hs,hs,18,1090.0,,1090.0,hs,Homo sapiens,Homo sapiens
Mladec 1 (16-17 year old) (Lautsch),hs,hs,35,1573.0,,1573.0,hs,Homo sapiens,Homo sapiens
Mladec 2 (17-18 year old) (Lautsch),hs,hs,35,1390.0,,1390.0,hs,Homo sapiens,Homo sapiens
Mladec 5 (Lautsch),hs,hs,35,1575.0,,1575.0,hs,Homo sapiens,Homo sapiens
Modjokerto (adult) (Perning I. Pithecanthropus V),he,he,1800,845.0,860.0,855.0,he,Homo erectus,Homo erectus
Modjokerto (child) (Perning I. Pithecanthropus V),he,he,1800,664.75,700.0,672.75,he,Homo erectus,Homo erectus
Monte Circeo I (Guattari. Circeo 1),n,n,55,1551.0,,1551.0,n,Neandertal,Neandertal
Narmada 1,ahs,ahs. hs,300,1205.0,1421.0,1249.3333333333333,ahs. hs,Archaic Homo sapiens,Archaic Homo sapiens
Nazlet Khater 1,hs,hs,33,1420.0,,1420.0,hs,Homo sapiens,Homo sapiens
Ndutu 1,ahs,he-n. ahs,350,1100.0,,1100.0,he-n. ahs,Archaic Homo sapiens,Archaic Homo sapiens
Neandertal 1,n,n,50,1337.75,,1337.75,n,Neandertal,Neandertal
OH 12,he,he,840,715.6666666666666,800.0,732.3333333333334,he,Homo erectus,Homo erectus
OH13 (Cinderella)(adult) (Olduvai hominid),hh,aa. aa-hh. hh,1660,662.2857142857143,,662.2857142857143,aa. aa-hh. hh,Homo habilis,Homo habilis
OH13 (Cinderella)(juv) (Olduvai hominid),hh,aa. aa-hh. hh,1660,630.2857142857143,,630.2857142857143,aa. aa-hh. hh,Homo habilis,Homo habilis
OH16 (George) (adult) (Olduvai hominid),hh,aa-hh. hh. h,1670,639.2,,639.2,aa-hh. hh. h,Homo habilis,Homo habilis
OH16 (George) (juv) (Olduvai hominid),hh,aa-hh. hh. h,1670,613.8333333333334,,613.8333333333334,aa-hh. hh. h,Homo habilis,Homo habilis
OH24 (Twiggy) (Olduvai hominid 24),hh,hh. aa,1800,586.0,,586.0,hh. aa,Homo habilis,Homo habilis
OH5 (Zinj) (Olduvai hominid),ab,ab. ar-ab,1770,588.0,,588.0,ab. ar-ab,Australopithecus boisei,A. boisei
OH7 (Olduvai hominid)(juv),hh,ar. aa-hh. hh,1780,650.6666666666666,715.0,652.5,ar. aa-hh. hh,Homo habilis,Homo habilis
OH7 (adult) (Olduvai hominid),hh,ar. aa-hh. hh,1780,679.0,,679.0,ar. aa-hh. hh,Homo habilis,Homo habilis
OH9 (Chellean man),he,he,1200,1056.75,1135.0,1070.5,he,Homo erectus,Homo erectus
Oberkassel 1,hs,hs,12,1500.0,,1500.0,hs,Homo sapiens,Homo sapiens
Oberkassel 2,hs,hs,12,1338.0,,1338.0,hs,Homo sapiens,Homo sapiens
Ofnet 21.1,hs,hs,11,1500.0,,1500.0,hs,Homo sapiens,Homo sapiens
Ofnet 24.1,hs,hs,11,1420.0,,1420.0,hs,Homo sapiens,Homo sapiens
Omo 1,hs,hs,130,1400.0,,1400.0,hs,Homo sapiens,Homo sapiens
Omo 2. Omo-Kibish 2,hs,n-hs. hs,130,1432.5,,1432.5,n-hs. hs,Homo sapiens,Homo sapiens
Omo L 323-1976-896,ab,ab,2250,490.0,,490.0,ab,Australopithecus boisei,A. boisei
Omo L338y-6 (adult),a,a. aae. aa. ab,2390,444.0,,444.0,a. aae. aa. ab,,
Omo L338y-6 (child 10yo) (Omo 338s),a ,a .aae. aa. ab,2390,427.0,,427.0,a .aae. aa. ab,,
Omo L894-1,h,h,1890,500.0,,500.0,h,Homo,Homo
Paderbourne,hs,hs,27,1531.0,,1531.0,hs,Homo sapiens,Homo sapiens
Palli Aike 773,hs,hs,11,1480.0,,1480.0,hs,Homo sapiens,Homo sapiens
Pataud 1,hs,hs,21,1380.0,,1380.0,hs,Homo sapiens,Homo sapiens
Pavlov 1,hs,hs,26,1522.0,,1522.0,hs,Homo sapiens,Homo sapiens
Petralona 1,ahs,n-he. ahs. hhei,300,1265.4444444444443,1210.0,1266.5555555555557,n-he. ahs. hhei,Archaic Homo sapiens,Archaic Homo sapiens
Plesianthropus (B),ples transv,ples transv. aa,2500,600.0,,600.0,ples transv. aa,Plesianthropus transvaalensis,Plesianthropus transvaalensis
Plesianthropus type (A),ples transv,ples transv. aa,2500,440.0,,440.0,ples transv. aa,Plesianthropus transvaalensis,Plesianthropus transvaalensis
Plesianthropus type 2,aa,aa. ples trans,2500,495.6666666666667,560.0,510.6666666666667,aa. ples trans,Australopithecus africanus,A. africanus
Plesianthropus type 3,aa,aa. ples trans,2500,286.0,,286.0,aa. ples trans,Australopithecus africanus,A. africanus
Poloyo 1 (PL-1). Sambungmacan 3 (SM 3),he,he,200,900.0,,900.0,he,Homo erectus,Homo erectus
Predmosti 10,hs,hs,27,1452.0,,1452.0,hs,Homo sapiens,Homo sapiens
Predmosti 3,hs,hs,27,1594.0,,1594.0,hs,Homo sapiens,Homo sapiens
Predmosti 4,hs,hs,27,1422.6666666666667,,1422.6666666666667,hs,Homo sapiens,Homo sapiens
Predmosti 9,hs,hs,27,1555.0,,1555.0,hs,Homo sapiens,Homo sapiens
Qafzeh 11 (Jebel Qafzeh 11) (Kafzeh 11),hs,hs,93,1280.0,,1280.0,hs,Homo sapiens,Homo sapiens
Qafzeh 6 (Jebel Qafzeh 6) (Kafzeh 6),hs,hs,93,1559.3333333333333,,1559.3333333333333,hs,Homo sapiens,Homo sapiens
Qafzeh 9 (Jebel Qafzeh 9) (Kafzeh 9) (subadult),hs,hs,93,1531.0,,1531.0,hs,Homo sapiens,Homo sapiens
Reilingn,ahs,ahs,300,1432.0,,1432.0,ahs,Archaic Homo sapiens,Archaic Homo sapiens
SK 27,h,h,1900,475.0,,475.0,h,Homo,Homo
SK 46,ar,ar,1900,712.5,,712.5,ar,Australopithecus robustus,A. robustus
SK 47 (adult),ar,ar. early h,1900,480.0,710.0,595.0,ar. early h,Australopithecus robustus,A. robustus
SK 47 (juv. 11 year old),ar,ar. early h,1900,383.5,456.0,429.5,ar. early h,Australopithecus robustus,A. robustus
SK 48,ar,ar,1900,600.0,,600.0,ar,Australopithecus robustus,A. robustus
SK 49,ar,ar,1900,475.0,,475.0,ar,Australopithecus robustus,A. robustus
SK 52,ar,ar,1900,575.0,,575.0,ar,Australopithecus robustus,A. robustus
SK 54,ar,ar,1900,475.0,,475.0,ar,Australopithecus robustus,A. robustus
SK 80,h,h,1900,475.0,,475.0,h,Homo,Homo
SK 847,h,h. hh/he. herg. early h,1900,419.5,635.0,507.0,h. hh,Homo,Homo
SK ? ,ar,ar,1900,1000.0,,1000.0,ar,Australopithecus robustus,A. robustus
SK ? (6-7 year old. male),ar,ar,1900,750.0,800.0,775.0,ar,Australopithecus robustus,A. robustus
SK ? (adolescent. female),ar,ar,1900,700.0,,700.0,ar,Australopithecus robustus,A. robustus
SK1585,ar,ar,1900,501.6666666666667,,501.6666666666667,ar,Australopithecus robustus,A. robustus
SK80/847,h,h. hh/he. herg,1900,500.0,,500.0,h. hh,Homo,Homo
STS 17,aa,aa,2500,400.0,425.0,412.5,aa,Australopithecus africanus,A. africanus
STS 25,aa,aa,2500,350.0,375.0,362.5,aa,Australopithecus africanus,A. africanus
STS mandible ,aa,aa. ples trans,2500,650.0,725.0,687.5,aa. ples trans,Australopithecus africanus,A. africanus
STS19/58 (Ples 8. Sterkf 19. Sterkf 8. Sts 8),aa,aa. ples trans,2500,520.2,560.0,524.7,aa. ples trans,Australopithecus africanus,A. africanus
STS5 (Mrs/Mr Ples. Ples 5. Sterkfontein 5),aa,aa. ples trans,2500,484.4,500.0,486.9,aa. ples trans,Australopithecus africanus,A. africanus
"STS60 (Ples 1.
Sterkfontein 1. Sts 1)",aa,aa. ples trans,2500,428.0,,428.0,aa. ples trans,Australopithecus africanus,A. africanus
STS60 (Ples 1. Sterkfontein 1. Sts 1),aa,aa. ples trans,2500,442.5,,442.5,aa. ples trans,Australopithecus africanus,A. africanus
STS71 (Ples 7. Sterkfontein 7. Sts 7),aa,aa. ples trans,2500,444.5,520.0,449.5,aa. ples trans,Australopithecus africanus,A. africanus
Saccopastore 1,n,n. ahs,100,1234.3333333333333,,1234.3333333333333,n. ahs,Neandertal,Neandertal
Saccopastore 2,n,n,100,1290.0,1300.0,1295.0,n,Neandertal,Neandertal
Saint Germain-la-Riviere 1,hs,hs,15,1354.0,,1354.0,hs,Homo sapiens,Homo sapiens
Saldanha 1 (Elandsfontein. Hopefield),ahs,he. he-ahs. ahs,350,1208.3333333333333,1250.0,1216.6666666666667,he. he-ahs. ahs,Archaic Homo sapiens,Archaic Homo sapiens
